Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A46004468,Cat,Domestic Shorthair,Mix,M,Yes,25.0,Adult,Normal,10/30/2020 1:53 PM,Clinic,Neuter,,,10/30/2020 5:35 PM,10/30/2020 5:35 PM,Clinic Out,Microchip,,
A46024873,Cat,Domestic Shorthair,Mix,M,Yes,17.0,Adult,Normal,11/3/2020 11:49 AM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,1/27/2021 1:17 PM,1/27/2021 1:17 PM,Transfer Out,To Specific Rescue,For Adoption,Orphan Animal Rescue - OARS
A46039316,Cat,Domestic Shorthair,Mix,F,Yes,,Adult,Normal,11/3/2020 10:25 AM,Stray,ACO / Police Drop Off,,,11/5/2020 9:08 AM,11/5/2020 9:08 AM,Return to Owner/Guardian,Stray Reclaim,,
A46046699,Dog,Shepherd,Mix,F,No,82.0,Adult,Normal,11/6/2020 6:21 AM,Stray,ACO / Police Drop Off,,,11/7/2020 1:18 PM,11/7/2020 1:18 PM,Return to Owner/Guardian,Stray Reclaim,,
A46058090,Cat,Domestic Shorthair,Mix,F,Yes,35.0,Young,Normal,11/7/2020 11:26 AM,Stray,ACO / Police Drop Off,,,11/27/2020 7:49 PM,11/27/2020 7:49 PM,Adoption,Adoption Center,,
A46072680,Cat,Domestic Shorthair,Mix,M,Yes,47.0,Adult,Normal,11/10/2020 2:22 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,2/28/2021 12:09 PM,2/28/2021 12:09 PM,Adoption,Adoption Center,,
A46078418,Dog,"Terrier, Boston",Mix,F,No,143.0,Senior,Sick,11/9/2020 1:16 PM,Owner/Guardian Surrender,Euthanasia Owner Request,Health Issues of Dog,,11/9/2020 6:01 PM,,Euthanasia,Owner Request,,
A46090782,Cat,Domestic Longhair,Mix,F,Yes,4.0,Young,Normal,11/13/2020 10:11 AM,Clinic,Spay,,,11/13/2020 11:08 AM,11/13/2020 11:08 AM,Clinic Out,Other,,
A46090796,Cat,Domestic Shorthair,Mix,F,Yes,2.0,Young,Normal,11/13/2020 10:11 AM,Clinic,Spay,,,11/13/2020 11:08 AM,11/13/2020 11:08 AM,Clinic Out,Other,,
A46090808,Cat,Domestic Shorthair,Mix,F,Yes,,Young,Normal,11/13/2020 10:11 AM,Clinic,Spay,,,11/13/2020 11:08 AM,11/13/2020 11:08 AM,Clinic Out,Other,,
A46090818,Cat,Domestic Shorthair,Mix,M,Yes,6.0,Young,Normal,11/13/2020 10:11 AM,Clinic,Spay,,,11/13/2020 11:08 AM,11/13/2020 11:08 AM,Clinic Out,Other,,
A46090837,Cat,Domestic Shorthair,Mix,F,Yes,7.0,Young,Normal,11/13/2020 10:11 AM,Clinic,Spay,,,11/13/2020 11:08 AM,11/13/2020 11:08 AM,Clinic Out,Other,,
A46091020,Cat,Domestic Shorthair,Mix,M,Yes,8.0,Young,Normal,11/13/2020 10:28 AM,Transfer In,For Adoption,Ready for Adoption,Shawano Cares About Critters (SCAC),1/27/2021 1:17 PM,1/27/2021 1:17 PM,Transfer Out,To Specific Rescue,For Adoption,Orphan Animal Rescue - OARS
A46091042,Cat,Domestic Shorthair,Mix,M,Yes,8.0,Young,Normal,11/13/2020 10:30 AM,Transfer In,For Adoption,Ready for Adoption,Shawano Cares About Critters (SCAC),2/3/2021 8:18 PM,2/3/2021 8:18 PM,Adoption,Adoption Center,,
A46091049,Cat,Domestic Shorthair,Mix,M,Yes,8.0,Young,Normal,11/13/2020 10:30 AM,Transfer In,For Adoption,Ready for Adoption,Shawano Cares About Critters (SCAC),1/27/2021 1:17 PM,1/27/2021 1:17 PM,Transfer Out,To Specific Rescue,For Adoption,Orphan Animal Rescue - OARS
