Animal #,Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
A41949986,Cat,Domestic Medium Hair,Mix,F,Yes,35.0,Adult,Normal,6/13/2019 10:53 AM,Owner/Guardian Surrender,For Adoption,Time - Not Enough,,8/12/2019 10:39 AM,8/12/2019 10:39 AM,Adoption,Adoption Center,,
A41950011,Cat,Domestic Shorthair,Mix,M,Yes,35.0,Adult,Normal,6/13/2019 10:53 AM,Owner/Guardian Surrender,For Adoption,Time - Not Enough,,10/5/2019 2:35 PM,10/5/2019 2:35 PM,Adoption,Adoption Center,,
A41950028,Cat,Domestic Shorthair,Mix,M,Yes,35.0,Adult,Normal,6/13/2019 10:53 AM,Owner/Guardian Surrender,For Adoption,Time - Not Enough,,9/13/2019 5:38 PM,9/13/2019 5:38 PM,Adoption,Adoption Center,,
A41950150,Cat,Domestic Shorthair,Mix,F,Yes,7.0,Adult,Normal,6/13/2019 11:02 AM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,12/14/2019 2:06 PM,12/14/2019 2:06 PM,Adoption,Adoption Center,,
A41950168,Cat,Domestic Shorthair,Mix,F,Yes,7.0,Adult,Normal,6/13/2019 11:02 AM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,3/2/2021 11:44 AM,3/2/2021 11:44 AM,Transfer Out,For Adoption,For Adoption,Orphan Animal Rescue - OARS
A41950181,Cat,Domestic Shorthair,Mix,F,Yes,7.0,Adult,Normal,6/13/2019 11:02 AM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,11/15/2019 6:46 PM,11/15/2019 6:46 PM,Adoption,Adoption Center,,
A41951309,Cat,Domestic Shorthair,Mix,F,Yes,1.0,Young,Normal,6/14/2019 12:06 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,9/21/2019 1:06 PM,9/21/2019 1:06 PM,Adoption,Adoption Center,,
A41951347,Cat,Domestic Medium Hair,Mix,F,Yes,1.0,Young,Normal,6/13/2019 12:08 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,9/18/2019 2:43 PM,9/18/2019 2:43 PM,Adoption,Adoption Center,,
A41951372,Cat,Domestic Shorthair,Mix,F,Yes,1.0,Young,Normal,6/13/2019 12:08 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,10/19/2019 2:44 PM,10/19/2019 2:44 PM,Adoption,Adoption Center,,
A41951392,Cat,Domestic Shorthair,Mix,F,Yes,1.0,Young,Normal,6/13/2019 12:08 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,9/30/2019 2:09 PM,9/30/2019 2:09 PM,Adoption,Adoption Center,,
A41951392,Cat,Domestic Shorthair,Mix,F,Yes,4.0,Young,Normal,10/2/2019 2:44 PM,Return,Within Exchange Period,Other,,10/19/2019 2:44 PM,10/19/2019 2:44 PM,Adoption,Adoption Center,,
A41951404,Cat,Domestic Shorthair,Mix,M,Yes,1.0,Young,Normal,6/13/2019 12:08 PM,Owner/Guardian Surrender,For Adoption,Can't find homes for litter,,9/21/2019 1:06 PM,9/21/2019 1:06 PM,Adoption,Adoption Center,,
