Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
0,Domestic Shorthair,Mix,1,1,35.0,Adult,Normal,4/2/2018 2:05 PM,Stray,Public Drop Off,,,4/4/2018 4:51 PM,4/4/2018 4:51 PM,Return to Owner/Guardian,Stray Reclaim,,
0,Domestic Longhair,Mix,0,1,180.0,Senior,Normal,4/2/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Death of Owner,,6/3/2018 1:29 PM,,Euthanasia,Disease - Other Fatal,,
0,Domestic Shorthair,Mix,0,0,180.0,Senior,Normal,4/2/2018 2:33 PM,Owner/Guardian Surrender,For Adoption,Death of Owner,,5/17/2018 4:52 PM,,Euthanasia,Injury,,
1,American Blue Heeler,Mix,1,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/14/2018 3:14 PM,5/14/2018 3:14 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/6/2018 11:27 AM,5/6/2018 11:27 AM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,9/1/2018 3:35 PM,9/1/2018 3:35 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/9/2018 6:42 PM,5/9/2018 6:42 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/9/2018 6:53 PM,5/9/2018 6:53 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,6/1/2018 5:01 PM,6/1/2018 5:01 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,6/1/2018 5:01 PM,6/1/2018 5:01 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/9/2018 3:49 PM,5/9/2018 3:49 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,1.0,Baby,Normal,4/7/2018 1:58 PM,Owner/Guardian Surrender,For Adoption,Other,,5/9/2018 3:49 PM,5/9/2018 3:49 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,,Adult,Normal,4/7/2018 4:24 PM,Stray,Public Drop Off,,,11/11/2018 1:11 PM,11/11/2018 1:11 PM,Adoption,Adoption Center,,
1,"Retriever, Labrador",Mix,0,1,18.0,Young,Normal,4/7/2018 5:19 PM,Owner/Guardian Surrender,For Adoption,Time - Not Enough,,5/16/2018 2:59 PM,5/16/2018 2:59 PM,Adoption,Adoption Center,,
1,Pomeranian,Mix,0,1,36.0,Adult,Normal,4/12/2018 12:53 PM,Owner/Guardian Surrender,For Adoption,Death of Owner,,5/5/2018 4:25 PM,5/5/2018 4:25 PM,Adoption,Adoption Center,,
1,"Spaniel, American Cocker",,0,1,30.0,Adult,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/4/2018 2:24 PM,5/4/2018 2:24 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/19/2018 2:56 PM,5/19/2018 2:56 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/5/2018 12:20 PM,5/5/2018 12:20 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,3.0,Baby,Normal,5/10/2018 12:54 PM,Return,Within Exchange Period,Time - Not Enough,,5/16/2018 3:32 PM,5/16/2018 3:32 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,0,1,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/12/2018 2:36 PM,5/12/2018 2:36 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,6/2/2018 4:15 PM,6/2/2018 4:15 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,5/23/2018 6:07 PM,5/23/2018 6:07 PM,Adoption,Adoption Center,,
1,American Blue Heeler,Mix,1,1,2.0,Baby,Normal,4/13/2018 8:15 PM,Owner/Guardian Surrender,For Adoption,Other,,6/2/2018 4:15 PM,6/2/2018 4:15 PM,Adoption,Adoption Center,,
1,"Coonhound, Treeing Walker",Mix,0,1,11.0,Young,Normal,4/20/2018 3:41 PM,Owner/Guardian Surrender,For Adoption,Other,,5/16/2018 4:32 PM,5/16/2018 4:32 PM,Adoption,Adoption Center,,
1,Retriever,Mix,0,0,6.0,Young,Fearful,4/20/2018 3:41 PM,Owner/Guardian Surrender,For Adoption,Other,,4/23/2018 3:10 PM,4/23/2018 3:10 PM,Transfer Out,For Adoption,For Adoption,Portage County Humane Society
1,Retriever,Mix,0,0,6.0,Young,Fearful,4/20/2018 3:41 PM,Owner/Guardian Surrender,For Adoption,Other,,4/23/2018 3:10 PM,4/23/2018 3:10 PM,Transfer Out,For Adoption,For Adoption,Portage County Humane Society
1,Terrier,Mix,0,1,2.0,Baby,Normal,4/20/2018 6:32 PM,Owner/Guardian Surrender,For Adoption,Other,,5/18/2018 4:00 PM,5/18/2018 4:00 PM,Adoption,Adoption Center,,
1,Terrier,Mix,1,1,2.0,Baby,Normal,4/20/2018 6:32 PM,Owner/Guardian Surrender,For Adoption,Other,,5/11/2018 2:40 PM,5/11/2018 2:40 PM,Adoption,Adoption Center,,
1,Terrier,Mix,1,1,2.0,Baby,Normal,4/20/2018 6:32 PM,Owner/Guardian Surrender,For Adoption,Other,,4/27/2018 2:58 PM,4/27/2018 2:58 PM,Adoption,Adoption Center,,
1,Terrier,Mix,1,1,2.0,Baby,Normal,4/20/2018 6:32 PM,Owner/Guardian Surrender,For Adoption,Other,,5/2/2018 2:34 PM,5/2/2018 2:34 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Normal,4/21/2018 2:36 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/17/2018 11:33 AM,6/17/2018 11:33 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,1.0,Baby,Normal,4/21/2018 2:36 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/2/2018 2:21 PM,6/2/2018 2:21 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Normal,4/21/2018 2:36 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/14/2018 1:31 PM,6/14/2018 1:31 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Normal,4/21/2018 2:36 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,7/6/2018 6:04 PM,7/6/2018 6:04 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Normal,4/21/2018 2:36 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,8/24/2018 5:33 PM,8/24/2018 5:33 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Normal,4/21/2018 2:36 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,8/2/2018 11:18 AM,8/2/2018 11:18 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,1.0,Baby,Normal,4/21/2018 2:36 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/17/2018 11:33 AM,6/17/2018 11:33 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,1.0,Baby,Normal,4/21/2018 2:36 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/14/2018 1:31 PM,6/14/2018 1:31 PM,Adoption,Adoption Center,,
1,Hound,Mix,0,1,15.0,Adult,Normal,4/26/2018 2:56 PM,Owner/Guardian Surrender,For Adoption,Other,,6/23/2018 2:56 PM,6/23/2018 2:56 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,23.0,Adult,Normal,4/27/2018 8:41 AM,Stray,Public Drop Off,,,7/18/2018 5:07 PM,7/18/2018 5:07 PM,Transfer Out,For Adoption,For Adoption,Safe Haven Pet Sanctuary Inc (Cafe)
0,Domestic Shorthair,Mix,0,1,9.0,Adult,Normal,4/28/2018 3:26 PM,Stray,Public Drop Off,,,3/14/2020 11:56 AM,3/14/2020 11:56 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,0.0,Baby,Normal,4/28/2018 3:26 PM,Stray,Public Drop Off,,,3/20/2019 5:59 PM,3/20/2019 5:59 PM,Transfer Out,To Specific Rescue,For Adoption,Orphan Animal Rescue - OARS
0,Domestic Shorthair,Mix,0,1,0.0,Baby,Normal,4/28/2018 3:26 PM,Stray,Public Drop Off,,,12/31/2018 1:35 PM,12/31/2018 1:35 PM,Adoption,Adoption Center,,
1,"Chihuahua, Short Coat",Pomeranian,0,1,72.0,Adult,Normal,4/29/2018 11:54 AM,Owner/Guardian Surrender,For Adoption,Other,,5/18/2018 4:50 PM,5/18/2018 4:50 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,21.0,Adult,Normal,4/30/2018 2:30 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,8/5/2018 11:28 AM,8/5/2018 11:28 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,1.0,Baby,Normal,4/30/2018 2:30 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/22/2018 4:08 PM,6/22/2018 4:08 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Normal,4/30/2018 2:30 PM,Owner/Guardian Surrender,For Adoption,Too Many Pets,,6/20/2018 5:57 PM,6/20/2018 5:57 PM,Adoption,Adoption Center,,
