Animal #,Out City,Out Province,Out Postal Code,adopted_lat,adopted_long
A46134403,Stevens Point,WI,54481,44.52013059,-89.57762753
A46134499,Green Bay,WI,54301,44.4564088,-88.02115209
A46135068,Waupaca,WI,54981,44.50951904,-89.13101344
A46147476,Weyauwega,WI,54983,44.32300194,-88.93228057
A46147482,Waupaca,WI,54981,44.3521203,-89.10369578
A46147487,Scandinavia,WI,54977,44.46238402,-89.14984995
A46147490,New London,WI,54961,44.379491,-88.73835657
A46147494,Appleton,WI,54914,44.27950578,-88.4335603
A46147495,Waupaca,WI,54981,44.353061,-89.173149
A46147496,Wautoma,WI,54982,44.0658029,-89.29566722
A46220373,Wausau,WI,54401,44.97148869,-89.64048065
A46247833,Oshkosh,WI,54901,44.01766108,-88.51956885
A01455447,Oshkosh,WI,54902,43.97344547,-88.53068741
A03782084,Wild Rose,WI,54984,44.18347304,-89.24490739
A09523098,West Bend,WI,53095,43.4262996,-88.1128404
A14223455,Waupaca,WI,54981,44.36763882,-89.09538459
A15086980,Appleton,WI,54914,44.28663446,-88.43158534
A21791458,Wild Rose,WI,54984,44.196614,-89.20166
A22879587,Waupaca,WI,54981,44.35801651,-89.09294455
A23465989,Waupaca,WI,54981,44.28433,-89.097346
A28542739,Plover,WI,54467,44.4620444,-89.53935691
A29297083,Plover,WI,54467,44.4620444,-89.53935691
A29694916,Weyauwega,WI,54983,44.32228633,-88.92159784
A29984685,Waupaca,WI,54981,44.28433,-89.097346
A30028462,Waupaca,WI,54981,44.28433,-89.097346
A31352698,Waupaca,WI,54981,44.35166068,-89.08505695
A37247967,Waupaca,WI,54981,44.36635433,-89.07501544
A37247967,New London,WI,54961,44.38741884,-88.73234908
A37872490,Stevens Point,WI,54481,44.4968256,-89.5590817
A38173512,Plover,WI,54467,44.44919034,-89.54904116
A38425723,Appleton,WI,54914,44.27875146,-88.41800393
A38804511,Plover,WI,54467,44.4620444,-89.53935691
A39142822,Stevens Point,WI,54482,44.52176342,-89.50179231
A39672464,Stevens Point,WI,54481,44.50404,-89.55927
A40150933,Waupaca,WI,54981,44.35785333,-89.09079713
A40335402,Neenah,WI,54956,44.168411,-88.468255
A40370473,Waupaca,WI,54981,44.365358,-89.085659
A40558124,Hudson,WI,54016,45.0073751,-92.732537
A40594206,Marion,WI,54950,44.66727894,-88.88254446
A40594219,Marion,WI,54950,44.66727894,-88.88254446
A40594354,Plover,WI,54467,44.4537198,-89.5442348
A40594361,Plover,WI,54467,44.4537198,-89.5442348
A40594789,Plover,WI,54467,44.48621619,-89.54616508
A40594829,Plover,WI,54467,44.48621619,-89.54616508
A40594921,New London,WI,54961,44.380614,-88.736733
A40595326,Oshkosh,WI,54901,44.03780524,-88.53400402
A40595382,Stevens Point,WI,54481,44.51865757,-89.57305706
A40607354,Waupaca,WI,54981,44.332996,-89.093879
A40607360,Waupaca,WI,54981,44.332996,-89.093879
A40628414,Waupaca,WI,54981,44.35406053,-89.09023516
A41732137,Waupaca,WI,54981,44.3460238,-89.0807694
A41747015,Green Bay,WI,54313,44.56209924,-88.07191945
