Species,Primary Breed,Secondary Breed,Gender,Altered,Age in Months Intake,Age Group,Intake Condition,Intake Date,Intake Type,Intake Subtype,Reason,Agency Name,Outcome Date,Release Date,Outcome Type,Outcome Subtype,Outcome Reason,Outcome_Agency_Name
0,Domestic Shorthair,Mix,1,1,10.0,Adult,Normal,8/29/2020 4:20 PM,Stray,ACO / Police Drop Off,,,11/3/2020 6:39 PM,11/3/2020 6:39 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,3.0,Baby,Fearful,8/29/2020 5:08 PM,Stray,Public Drop Off,,,10/18/2020 3:34 PM,10/18/2020 3:34 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,3.0,Baby,Fearful,8/29/2020 5:08 PM,Stray,Public Drop Off,,,10/18/2020 3:34 PM,10/18/2020 3:34 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,3.0,Baby,Fearful,8/29/2020 5:08 PM,Stray,Public Drop Off,,,10/18/2020 3:34 PM,10/18/2020 3:34 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Young,Normal,8/31/2020 12:33 PM,Stray,ACO / Police Drop Off,,,11/6/2020 11:24 AM,11/6/2020 11:24 AM,Adoption,Adoption Center,,
0,Domestic Longhair,Mix,1,1,49.0,Adult,Normal,9/1/2020 10:03 AM,Owner/Guardian Surrender,For Adoption,Birth of Baby (human),,1/16/2021 5:47 PM,1/16/2021 5:47 PM,Adoption,Adoption Center,,
1,"Retriever, Labrador",Mix,0,0,7.0,Young,Normal,9/2/2020 2:35 PM,Clinic,Microchip,,,9/2/2020 2:39 PM,9/2/2020 2:39 PM,Clinic Out,Microchip,,
0,Domestic Shorthair,Mix,0,1,35.0,Young,Normal,9/3/2020 3:07 PM,Stray,Abandoned,,,11/14/2020 3:01 PM,11/14/2020 3:01 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,0,1,1.0,Baby,Sick & Injured,9/5/2020 2:12 PM,Stray,Public Drop Off,,,12/13/2020 12:40 PM,12/13/2020 12:40 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,1.0,Baby,Sick & Injured,9/5/2020 2:12 PM,Stray,Public Drop Off,,,12/13/2020 12:40 PM,12/13/2020 12:40 PM,Adoption,Adoption Center,,
1,Border Collie,Mix,1,1,9.0,Baby,Normal,9/11/2020 2:18 PM,Owner/Guardian Surrender,For Adoption,Other,,9/18/2020 10:53 AM,9/18/2020 10:53 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,2.0,Baby,Normal,9/11/2020 7:21 PM,Owner/Guardian Surrender,For Adoption,Found/Can't Keep,,10/31/2020 1:24 PM,10/31/2020 1:24 PM,Adoption,Adoption Center,,
1,"Terrier, Rat",Mix,1,1,1.0,Baby,Normal,9/14/2020 1:26 PM,Owner/Guardian Surrender,For Adoption,Other,,1/4/2021 4:51 PM,1/4/2021 4:51 PM,Adoption,Adoption Center,,
1,"Terrier, Rat",Mix,1,1,1.0,Baby,Normal,9/14/2020 1:26 PM,Owner/Guardian Surrender,For Adoption,Other,,11/16/2020 11:12 AM,11/16/2020 11:12 AM,Adoption,Adoption Center,,
1,"Terrier, Rat",Mix,1,1,1.0,Baby,Normal,9/14/2020 1:26 PM,Owner/Guardian Surrender,For Adoption,Other,,10/24/2020 4:14 PM,10/24/2020 4:14 PM,Adoption,Adoption Center,,
1,"Terrier, Rat",Mix,1,1,1.0,Baby,Normal,9/14/2020 1:26 PM,Owner/Guardian Surrender,For Adoption,Other,,10/28/2020 11:48 AM,10/28/2020 11:48 AM,Adoption,Adoption Center,,
1,"Terrier, Rat",Mix,1,1,1.0,Baby,Normal,9/14/2020 1:26 PM,Owner/Guardian Surrender,For Adoption,Other,,10/18/2020 4:21 PM,10/18/2020 4:21 PM,Adoption,Adoption Center,,
1,"Terrier, Rat",Mix,1,1,1.0,Baby,Normal,9/14/2020 1:26 PM,Owner/Guardian Surrender,For Adoption,Other,,3/18/2021 2:58 PM,3/18/2021 2:58 PM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,49.0,Adult,Normal,9/17/2020 9:07 AM,Owner/Guardian Surrender,For Adoption,Allergies,,10/23/2020 3:38 PM,10/23/2020 3:38 PM,Transfer Out,To Specific Rescue,For Adoption,Oshkosh Area Humane Society
1,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,1,1,9.0,Young,Normal,9/24/2020 10:41 AM,Owner/Guardian Surrender,For Adoption,Other,,11/16/2020 9:43 AM,11/16/2020 9:43 AM,Adoption,Adoption Center,,
0,Domestic Shorthair,Mix,1,1,4.0,Young,Normal,10/6/2020 12:42 PM,Stray,Public Drop Off,,,4/29/2021 8:16 AM,4/29/2021 8:16 AM,Transfer Out,For Adoption,For Adoption,Orphan Animal Rescue - OARS
1,"Retriever, Labrador",Mix,1,1,3.0,Baby,Normal,9/28/2020 11:48 AM,Clinic,Microchip,,,9/28/2020 12:17 PM,9/28/2020 12:17 PM,Clinic Out,Microchip,,
1,"Retriever, Labrador",Mix,1,1,3.0,Baby,Normal,10/23/2020 1:47 PM,Clinic,Neuter,,,10/23/2020 1:49 PM,10/23/2020 1:49 PM,Clinic Out,Other,,
